hp,lp,sum,accel,gyro
0.000000,-0.102688,-0.102688,-0.102688,-0.102688
-0.001127,-0.102741,-0.103868,-0.105332,-0.103838
-0.002086,-0.102844,-0.104931,-0.107918,-0.104840
-0.002921,-0.103046,-0.105968,-0.112945,-0.105735
-0.003792,-0.103223,-0.107015,-0.111892,-0.106683
-0.004959,-0.103358,-0.108316,-0.109945,-0.107950
-0.006582,-0.103635,-0.110217,-0.117243,-0.109708
-0.008705,-0.104116,-0.112821,-0.127638,-0.112009
-0.011413,-0.104760,-0.116173,-0.136360,-0.114949
-0.014890,-0.105620,-0.120510,-0.147741,-0.118731
-0.019343,-0.106639,-0.125981,-0.156561,-0.123578
-0.024823,-0.107864,-0.132687,-0.167901,-0.129565
-0.031415,-0.109447,-0.140862,-0.187019,-0.136798
-0.039096,-0.111615,-0.150712,-0.217846,-0.145277
-0.047700,-0.113993,-0.161692,-0.230494,-0.154854
-0.057759,-0.115811,-0.173570,-0.204893,-0.166093
-0.069497,-0.116699,-0.186196,-0.160210,-0.179249
-0.081720,-0.117749,-0.199469,-0.169191,-0.193140
-0.092916,-0.118311,-0.211227,-0.145854,-0.206232
-0.099618,-0.119231,-0.218849,-0.164308,-0.214967
-0.103451,-0.121557,-0.225009,-0.235561,-0.220911
-0.105861,-0.122488,-0.228349,-0.168103,-0.225481
-0.108306,-0.123176,-0.231481,-0.156855,-0.230136
-0.111213,-0.125051,-0.236265,-0.216968,-0.235313
-0.115096,-0.127635,-0.242731,-0.254225,-0.241545
-0.120488,-0.129280,-0.249769,-0.209904,-0.249396
-0.126890,-0.131670,-0.258560,-0.248781,-0.258387
-0.133090,-0.133097,-0.266186,-0.202983,-0.267303
-0.138466,-0.135075,-0.273541,-0.232007,-0.275506
-0.143339,-0.137399,-0.280737,-0.251271,-0.283304
-0.148145,-0.140352,-0.288497,-0.285068,-0.291133
-0.153607,-0.143487,-0.297094,-0.297104,-0.299730
-0.159972,-0.146921,-0.306893,-0.315164,-0.309360
-0.167505,-0.150370,-0.317874,-0.319369,-0.320311
-0.176004,-0.153681,-0.329684,-0.315919,-0.332402
-0.184875,-0.157304,-0.342180,-0.334868,-0.345046
-0.193517,-0.161016,-0.354534,-0.342902,-0.357638
-0.201924,-0.164577,-0.366501,-0.339073,-0.370165
-0.210601,-0.168531,-0.379132,-0.362251,-0.383140
-0.219167,-0.172950,-0.392117,-0.389473,-0.396179
-0.227374,-0.177517,-0.404891,-0.401322,-0.409026
-0.235385,-0.182489,-0.417874,-0.426097,-0.421841
-0.243069,-0.187440,-0.430509,-0.430027,-0.434486
-0.250391,-0.192529,-0.442920,-0.441933,-0.446917
-0.257347,-0.197661,-0.455007,-0.449082,-0.459125
-0.264258,-0.203111,-0.467369,-0.470201,-0.471429
-0.271270,-0.208717,-0.479987,-0.483396,-0.483978
-0.278425,-0.214441,-0.492866,-0.494929,-0.496814
-0.285248,-0.220276,-0.505524,-0.506181,-0.509459
-0.291841,-0.225736,-0.517576,-0.493254,-0.522008
-0.298740,-0.231664,-0.530405,-0.522174,-0.535004
-0.305951,-0.237780,-0.543730,-0.537435,-0.548458
-0.313622,-0.244579,-0.558201,-0.577722,-0.562531
-0.321245,-0.251455,-0.572700,-0.588380,-0.576709
-0.329394,-0.258334,-0.587728,-0.595440,-0.591580
-0.338257,-0.265449,-0.603706,-0.614071,-0.607346
-0.347809,-0.272357,-0.620165,-0.610819,-0.623996
-0.358067,-0.279673,-0.637740,-0.638170,-0.641563
-0.368465,-0.287290,-0.655756,-0.660547,-0.659480
-0.378906,-0.296570,-0.675475,-0.751250,-0.677654
-0.388146,-0.304444,-0.692590,-0.690282,-0.694815
-0.397139,-0.312377,-0.709515,-0.701097,-0.711913
-0.405659,-0.320967,-0.726626,-0.741875,-0.728712
-0.413539,-0.329681,-0.743221,-0.756699,-0.745032
-0.420907,-0.338589,-0.759496,-0.775051,-0.760989
-0.427960,-0.347868,-0.775829,-0.802564,-0.776777
-0.435510,-0.356683,-0.792192,-0.788585,-0.793214
-0.444432,-0.365586,-0.810018,-0.801838,-0.811206
-0.453781,-0.374023,-0.827804,-0.787454,-0.829816
-0.461753,-0.383552,-0.845305,-0.850464,-0.847212
-0.468971,-0.393514,-0.862485,-0.881664,-0.864000
-0.475554,-0.403475,-0.879029,-0.891569,-0.880288
-0.481681,-0.413399,-0.895081,-0.899679,-0.896246
-0.487634,-0.423811,-0.911445,-0.933961,-0.912151
-0.493509,-0.434300,-0.927810,-0.948290,-0.928097
-0.499100,-0.445157,-0.944257,-0.977146,-0.943874
-0.504193,-0.456018,-0.960212,-0.988220,-0.959256
-0.508589,-0.467212,-0.975801,-1.015687,-0.974032
-0.511863,-0.478466,-0.990330,-1.029939,-0.987752
-0.513621,-0.489936,-1.003557,-1.051926,-0.999992
-0.513642,-0.501628,-1.015270,-1.074531,-1.010496
-0.511815,-0.513196,-1.025011,-1.080053,-1.019114
-0.508396,-0.524488,-1.032884,-1.077786,-1.026070
-0.503573,-0.535477,-1.039050,-1.073946,-1.031524
-0.497437,-0.546246,-1.043683,-1.073929,-1.035540
-0.490015,-0.556712,-1.046727,-1.069553,-1.038118
-0.481415,-0.566777,-1.048192,-1.059940,-1.039343
-0.471724,-0.576547,-1.048271,-1.055297,-1.039279
-0.461287,-0.586224,-1.047511,-1.060385,-1.038256
-0.450621,-0.595702,-1.046323,-1.060151,-1.036786
-0.440262,-0.604790,-1.045052,-1.050069,-1.035412
-0.430507,-0.613606,-1.044113,-1.045607,-1.034443
-0.421301,-0.622100,-1.043401,-1.038305,-1.033835
-0.412353,-0.630433,-1.042786,-1.038741,-1.033303
-0.403355,-0.638433,-1.041787,-1.030427,-1.032536
-0.394150,-0.646232,-1.040381,-1.028375,-1.031375
-0.384732,-0.653642,-1.038374,-1.016743,-1.029809
-0.375273,-0.660917,-1.036190,-1.017383,-1.028008
-0.365951,-0.668100,-1.034051,-1.020081,-1.026155
-0.356868,-0.674964,-1.031832,-1.011303,-1.024355
-0.348165,-0.681511,-1.029676,-1.002322,-1.022757
-0.340011,-0.687837,-1.027849,-0.997821,-1.021542
-0.332334,-0.694079,-1.026413,-0.999918,-1.020648
-0.325040,-0.700177,-1.025218,-0.999000,-1.019987
-0.317986,-0.706227,-1.024213,-1.002644,-1.019423
-0.310979,-0.712279,-1.023258,-1.008824,-1.018762
-0.303935,-0.718205,-1.022140,-1.008610,-1.017920
-0.297031,-0.724070,-1.021101,-1.011438,-1.017079
-0.290370,-0.729873,-1.020244,-1.014216,-1.016344
-0.283968,-0.735478,-1.019446,-1.010106,-1.015737
-0.277767,-0.740821,-1.018588,-1.002663,-1.015204
-0.271637,-0.746081,-1.017718,-1.003796,-1.014618
-0.265327,-0.751267,-1.016595,-1.005394,-1.013723
-0.258685,-0.756428,-1.015112,-1.009290,-1.012360
-0.251611,-0.761348,-1.012959,-1.002461,-1.010421
-0.244105,-0.766219,-1.010324,-1.004886,-1.007896
-0.236205,-0.770915,-1.007120,-1.001006,-1.004818
-0.227911,-0.775355,-1.003266,-0.992938,-1.001174
-0.219240,-0.779679,-0.998919,-0.991560,-0.996977
-0.210115,-0.783760,-0.993875,-0.983711,-0.992141
-0.200516,-0.787500,-0.988016,-0.970779,-0.986634
-0.190356,-0.791179,-0.981536,-0.971441,-0.980359
-0.179607,-0.794577,-0.974184,-0.961067,-0.973275
-0.168279,-0.797859,-0.966138,-0.958656,-0.965382
-0.156364,-0.800927,-0.957290,-0.951268,-0.956657
-0.143945,-0.803846,-0.947791,-0.946873,-0.947176
-0.131138,-0.806519,-0.937657,-0.937495,-0.937046
-0.118107,-0.809045,-0.927152,-0.932846,-0.926425
-0.104930,-0.811457,-0.916387,-0.929636,-0.915389
-0.091942,-0.813465,-0.905408,-0.911853,-0.904278
-0.079330,-0.815118,-0.894448,-0.896128,-0.893284
-0.066855,-0.816520,-0.883374,-0.885177,-0.882174
-0.054274,-0.817516,-0.871790,-0.866344,-0.870701
-0.041695,-0.818178,-0.859872,-0.850593,-0.858972
-0.029179,-0.818693,-0.847872,-0.843929,-0.847052
-0.016694,-0.818696,-0.835390,-0.818830,-0.834908
-0.004386,-0.818622,-0.823008,-0.814998,-0.822689
0.007707,-0.818494,-0.810787,-0.812260,-0.810439
0.019736,-0.817809,-0.798073,-0.784231,-0.798007
0.031712,-0.817157,-0.785445,-0.785194,-0.785384
0.043856,-0.816383,-0.772527,-0.778441,-0.772345
0.056122,-0.815261,-0.759139,-0.760325,-0.758933
0.068216,-0.813795,-0.745578,-0.741933,-0.745447
0.079912,-0.812121,-0.732209,-0.730090,-0.732121
0.091217,-0.810211,-0.718994,-0.716625,-0.718954
0.102192,-0.808320,-0.706128,-0.715673,-0.705894
